nuFnu_syn,nu_syn,CLASS,SED_class,GLON,LP_beta,GLAT,Frac_Variability,Pivot_Energy,Highest_energy,PL_Index,SpectrumType,Unc_Frac_Variability,LP_Index,Unc_Energy_Flux100,Unc_Flux1000,Variability_Index,Flux1000,Unc_LP_Index,Energy_Flux100,Signif_Avg,Unc_PL_Index,Unc_LP_beta,Flags,Redshift
-27.384113,32.703,BLL,ISP,122.20132,0.0379878,-39.9948,0.0,7.9542894,3.6046307,2.2644446,PowerLaw,2.3025851,2.2517889,-28.262499,3.754855e-11,2.1756527,-22.316896,-1.7895635,-26.752506,2.0342731,0.14215718,-2.5861177,0,0.26415
-27.631021,27.631021,BLL,LSP,122.47285,0.21563405,-20.479572,0.0,8.376055,4.3341737,1.9227873,PowerLaw,2.3025851,1.6006202,-28.792612,2.8662465e-11,2.465704,-22.690092,-1.1382624,-27.159365,1.9218813,0.13749242,-1.7165251,0,0.302
-26.70273,30.805262,BLL,LSP,122.08301,0.08970468,-60.24167,0.50197613,6.7554693,3.5671158,2.1369133,LogParabola,-2.181233,2.0213416,-27.90339,7.284694e-11,5.466537,-20.137056,-3.235195,-24.858763,3.8695943,0.026222259,-3.894943,0,1.474
-26.75624,29.152931,FSRQ,LSP,303.2906,0.0023519155,-59.510906,1.2299153,6.711491,3.2946177,2.4415953,PowerLaw,-1.3265938,2.4402268,-28.403189,4.251342e-11,6.609087,-20.899317,-3.2772868,-25.183378,3.6079028,0.036124274,-3.9448862,2,1.797
-27.182783,29.145739,FSRQ,LSP,122.28092,0.09421534,-67.7511,0.7686617,6.6098237,3.4725223,2.3262928,LogParabola,-1.76712,2.236397,-28.079912,5.870524e-11,5.414986,-20.718262,-2.9130278,-25.29824,3.4116046,0.037790455,-3.5067005,0,0.92
-25.602596,32.520058,BLL,ISP,122.3323,0.05795893,-72.364494,0.2895267,6.8667994,5.319849,2.009811,LogParabola,-2.71892,1.919361,-27.44885,1.01961675e-10,5.1535287,-19.365072,-3.6556613,-24.033102,4.4113607,0.016637955,-4.525439,0,0.635
-26.430418,28.540295,FSRQ,LSP,122.7115,0.12995927,-69.68121,0.74358106,6.517784,2.8095894,2.3672576,LogParabola,-1.7831079,2.2497184,-28.150034,5.691453e-11,5.2318287,-20.871233,-2.7569966,-25.445084,3.2532434,0.04090892,-3.2818143,0,1.975
-25.900406,36.740158,BLL,HSP,302.95966,0.102955565,-54.424545,0.48359662,7.7591276,4.810093,1.7432879,LogParabola,-2.21415,1.5515451,-27.687607,6.4246684e-11,5.112725,-20.109861,-3.1260383,-24.625805,4.1647196,0.02258397,-4.0568557,0,0.3
-26.255535,36.270496,BLL,HSP,141.98647,0.0744511,-87.68009,0.14547062,7.6735024,4.7304273,1.7945248,LogParabola,-2.2981148,1.6537205,-28.001726,5.0153683e-11,2.7635758,-20.967178,-2.6282587,-25.501524,3.4309812,0.04147333,-3.5487156,0,0.12
-25.548288,32.622932,BLL,ISP,126.94633,0.030877626,-72.43315,0.3573879,7.965611,5.7378874,1.87068,PowerLaw,-2.264523,1.8316143,-28.055475,5.102513e-11,3.7514088,-20.929003,-2.8340173,-25.371248,3.3659992,0.045005348,-3.6411772,0,0.103147
-27.273544,28.682571,BLL,LSP,124.799835,0.034060985,-46.41627,0.30899763,7.466148,2.565426,2.2642825,PowerLaw,-0.98425996,2.2273338,-28.584818,3.1437925e-11,2.6432774,-22.5187,-1.6477123,-26.95441,1.7880844,0.14718354,-2.4178202,0,0.206
-26.19861,31.362434,RDG,LSP,124.55753,-0.010729176,-32.45467,0.0,7.005889,2.6983297,2.3779464,PowerLaw,2.3025851,2.3839145,-28.524847,3.4592194e-11,2.1770136,-22.017218,-2.3717968,-26.364716,2.3702106,0.09488173,-3.1618593,0,0.016485
-27.04479,29.163746,FSRQ,LSP,127.41347,0.026767915,-68.46925,0.57147014,6.871191,4.1016097,2.4051995,PowerLaw,-1.9158375,2.3928285,-28.34548,4.2174462e-11,4.261546,-21.575966,-2.5638804,-25.897448,2.6954403,0.068884015,-3.2600043,0,1.2456
-27.239065,30.018456,FSRQ,LSP,124.615616,0.13364561,-29.598356,1.3511356,7.262959,2.8919315,2.3124163,PowerLaw,-1.1220857,2.167266,-28.627886,3.035216e-11,4.4428797,-22.335918,-1.5114009,-26.738447,2.0839005,0.11183222,-2.023741,0,1.369
-26.387487,39.063366,BLL,HSP,127.55419,0.093876496,-64.67326,0.0,8.641406,4.6540747,1.7664346,PowerLaw,2.3025851,1.641938,-28.467962,3.576963e-11,2.438759,-22.14739,-1.8258075,-26.512478,2.5635564,0.09523335,-2.5228763,0,0.144
-27.631021,27.631021,BLL,LSP,299.75165,0.13394457,-62.138832,0.0,8.9364605,4.2736993,1.7231159,PowerLaw,2.3025851,1.6108037,-29.012566,2.119993e-11,1.9439735,-23.232725,-1.3717283,-27.557577,1.9599258,0.14518273,-2.0736012,0,0.261
-27.631021,27.631021,BLL,LSP,127.44475,-0.047166813,-53.069267,0.31671584,7.841856,4.2087026,2.149819,PowerLaw,-0.9968577,2.1948614,-28.424803,3.8672374e-11,2.5711532,-22.266493,-2.1127834,-26.754198,1.9476845,0.14334604,-3.0300238,16,0.42
-26.216585,36.910534,BCU,HSP,143.61546,0.6033087,-82.44283,0.0,9.129383,3.9892452,1.6774392,LogParabola,2.3025851,1.0047522,-28.855064,1.7755556e-11,2.7309852,-23.98399,-0.26967195,-27.821028,1.7845781,0.1776197,-0.59810716,0,0.38
-27.631021,27.631021,BLL,LSP,127.228264,0.057234615,-47.33618,0.0,7.6664515,4.0846105,2.1878493,PowerLaw,2.3025851,2.1505697,-28.585482,3.2868236e-11,1.6163555,-22.314495,-1.8895396,-26.789299,2.0801935,0.11720153,-2.5779977,0,0.246
-27.631021,27.631021,BLL,LSP,127.58429,0.14689696,-49.405758,0.89384323,7.7535634,3.8162365,2.1032195,PowerLaw,-1.3341233,1.9100392,-28.65566,3.2128637e-11,3.715979,-22.266487,-1.2233931,-26.763834,2.218347,0.11574194,-1.7867157,0,0.49
-25.981606,30.893679,BLL,LSP,125.81474,0.05830534,-23.2986,0.78234667,7.0130615,4.03232,2.3178937,PowerLaw,-1.6837559,2.2733808,-28.522615,3.7210478e-11,4.633925,-21.54431,-2.557612,-25.942663,2.8442147,0.05968656,-3.1423483,0,0.44
-25.679905,29.078146,FSRQ,LSP,131.8437,0.112387925,-60.991188,0.85781705,6.299678,3.4749093,2.3578417,LogParabola,-1.6976048,2.2835996,-27.27848,1.494843e-10,8.868875,-18.410954,-4.475481,-22.89271,5.134333,0.008153212,-4.9354424,0,2.099
-26.23801,33.115334,BLL,ISP,128.83229,0.082882084,-44.403687,0.16798386,7.295459,4.3642,2.0455463,LogParabola,-2.213114,1.9229567,-28.132118,5.2174473e-11,2.7410705,-21.062962,-2.4862778,-25.791883,3.1240113,0.04969362,-3.272354,0,0.145
-26.676847,37.5437,BLL,HSP,287.8268,0.1180183,-76.25934,0.41564167,8.2189245,3.572896,1.8422483,PowerLaw,-1.4750204,1.7286309,-28.76569,2.5954515e-11,2.8933034,-22.51192,-1.8621454,-26.936066,2.3120577,0.10190863,-2.4320014,0,0.313
-25.78166,35.89756,BLL,HSP,126.67573,0.04353989,-20.875986,0.26900947,9.303275,4.8394594,1.6873649,PowerLaw,0.1435963,1.6456518,-28.884508,2.5895522e-11,2.8960397,-23.311455,-1.4389863,-27.59991,1.794422,0.18003511,-2.194981,0,0.096
-26.553417,39.143955,BLL,HSP,141.53157,-0.0047220774,-75.07677,0.050993115,7.867823,4.5333776,2.0331652,PowerLaw,0.19457132,2.0353665,-28.59434,3.4282892e-11,2.5168655,-22.155798,-2.267566,-26.654596,2.3389325,0.102995485,-3.197554,0,0.234
-27.184557,33.344738,BLL,ISP,132.07747,0.1447613,-56.94024,0.0,8.565194,4.0628657,1.866723,PowerLaw,2.3025851,1.7361983,-28.827497,2.7693545e-11,2.7731774,-22.948025,-1.3472546,-27.38789,1.772632,0.1649624,-1.7950006,0,0.346
-24.80778,31.809534,BLL,LSP,129.14764,0.060171682,-39.870537,0.2763648,6.645524,4.9661956,2.074247,LogParabola,-2.8080964,1.9903638,-27.226595,1.3709217e-10,6.163694,-18.595545,-4.2065067,-23.263912,4.944613,0.009924785,-5.020554,0,0.265
-25.048573,29.750673,FSRQ,LSP,128.20293,0.07890747,-30.51219,0.7968676,6.2699223,3.4665074,2.3411708,LogParabola,-1.7642729,2.2445264,-27.909658,7.624785e-11,7.09921,-19.810535,-3.5400212,-24.321562,4.2137256,0.018470807,-4.2506948,0,0.603
-26.779676,29.620207,FSRQ,LSP,276.4768,0.1224647,-80.091736,0.9041533,6.46246,2.8423188,2.370542,LogParabola,-1.5826417,2.2408855,-28.537903,3.882443e-11,5.01339,-21.48261,-2.5258753,-26.048147,3.0427518,0.051207718,-3.0707333,0,1.22
-26.028124,30.717186,FSRQ,LSP,126.57621,0.080808476,-12.910367,1.0018237,7.0367446,4.255421,2.2131813,LogParabola,-1.5262618,2.128539,-27.851341,6.731293e-11,6.131326,-20.2916,-3.071274,-24.973486,3.6534872,0.030461758,-3.784863,0,0.389
-26.657097,30.62948,BLL,LSP,134.10127,-0.00617365,-59.968235,0.3775031,7.0163965,2.3871927,2.5906758,PowerLaw,-1.7505761,2.5946755,-28.011364,3.6053303e-11,3.0171392,-22.08727,-2.086351,-26.189749,2.2622874,0.12025164,-2.8305492,4,0.047
-26.520487,34.07984,BLL,ISP,131.63397,0.048292067,-49.041607,0.33702052,7.1459293,4.5944104,2.062062,LogParabola,-2.4051769,1.9838626,-27.885195,6.222942e-11,4.013753,-20.575916,-3.1041982,-25.219084,3.5114214,0.03794304,-3.7312274,0,0.583
-27.324446,33.43655,BLL,ISP,268.0324,0.021278733,-81.46336,0.45366627,9.006327,4.2394443,1.6764723,PowerLaw,-1.1253022,1.6425673,-28.769327,2.5964793e-11,2.7791433,-22.851562,-1.8113401,-27.128395,2.2780342,0.12548274,-2.5633693,0,0.48
